Message,R2DiscussionType
Hello. ,Social
I loved the addition of ,Seminar
Submitted,Procedure
mor,Other
ima,Seminar
opportun,Seminar
Thanks for taking the lead on the first draft,Social
I’ll check in soon and add to it ,Procedure
👍,Social
SUBMITTED,Procedure
s,Other
uwgyeu,Other
"ha""",Other
w,Other
You're here for LIS6303 or for another class?,Procedure
I'm also in LIS6303!,Procedure
okay awesome! ,Procedure
"Also, I got an email letting us know that Elias Royal is also a part of our group. ",Procedure
lol ,Social
:D,Social
"Kyra, I LOVE what you did for part 1!! ",Social
Awww thank you so much!,Social
Ahhh I love your response too!,Social
Finished! How does that sound?,Seminar
darla,Other
experien,Seminar
"Hi John, ",Social
"Oh good! I can, in fact, click in the box.",UX
Great!,UX
The Lady was behind the door.,Seminar
"Karen Richardson,",Seminar
Yay you got it!,"Social, Deliberation"
ok,Deliberation
I'm try again.,Deliberation
ok!,Deliberation
ooooh,UX
Any additions?,Deliberation
i think weve got it,Deliberation
Hey guys I got through the next page,Deliberation
im just back at the screen we were at before,UX
Submitted,Deliberation
What did you have to do?,Deliberation
lol well ok then. Nice work team,Deliberation
Thank you team!  Nice collab!,Social
"Sounds good, I am going to get off of here.",Social
Nice work team,Social
have a great evening!,Social
Me too goodnight! Thanks guys!,Social
I can meet tomorrow (Wednesday) at 9am EST/8CST.,Procedure
"Perfect. ""See"" you then.",Procedure
Good morning. I'm here.,Social
Good morning,Social
"Thanks. I apologize for delaying you on completing this assignment, but I appreciate your taking the extra time for me. Good luck with the rest of the semester!",Social
Good luck to you as well,Social
Yes. Thanks. Bye!,Social
"Ha, I meant successor.",Seminar
"Hi Patricia Green and Michelle Rivera,",Social
"Apologies for my slacking with this, I am also finished now.",Social
"I just replied to the email, but yes"" I can meet back here tomorrow (Tues. at 8pm). ""See"" you all then!""",Procedure
"Hi Linda Long and Michelle Rivera, I am here and ready whenever you both are.",Procedure
"I am on,",Procedure
Definitely,Deliberation
"Perfect, we are all here.",Procedure
Sorry for the delay,Social
yes,Seminar
I like it! Good sentemce.,Seminar
sentence*,Seminar
Good job!,Social
Yes!! Well done.,Deliberation
"yay, lol.",Social
thank you,Social
I'd say we pretty have wrapped things up then. It was nice working with both of you!,Social
Good job ladies. Thank you both.,Social
"Yes, thank you too. Good job everyone. :)",Social
"Yes thank you, glad we could get on at the same time. :)",Social
acce,Seminar
w,Seminar
...,Seminar
...,Seminar
...,Seminar
att,Seminar
"Hello everyone, can you see this?",Social
This is Natalie. I can't wait to get this activity started,Social
Hello! I can!,Social
"I know, I've been waiting my the computer",Social
Hi Katie!,Social
*by,Social
"Hello, Natalie!",Social
Okay!,Social
Hello! I've been on but just noticed the chat feature. We're good to get started :),UX
"Oh, hi Rebecca!",Social
Okay Hi Rebecca and Katie,Social
"What about you, Rebecca?",Seminar
"Oh, sorry! Yes I read it",Seminar
"Rebecca, it was a bit glitchy with me at times and I refreshed and logged back in",UX
Hint I _____him?,UX
then click submit,UX
then click on the checkmark button,UX
head in hands,Social
Which browser did you use?,UX
It took me 10 tried. Then I got it,UX
I'm in google chrome,UX
No worries!,Social
ha ha,Social
"Well said, Rebecca",Seminar
Good point you made Rebecca,Seminar
"Okay, me too! Sorry there's a bit of a delay on my end.",UX
Yep.,Social
Anyone else?,Seminar
Same.,Seminar
"Natalie, are you still there?",Social
"Thanks, everyone!",Social
Enjoy the wedding!,Social
Thanks for hopping on for a little bit! I hope you both have a great rest of this semester!,Social
"Thank you, I will!! :)",Social
Thank you! You too!,Social
Hi sorry ladies I got kicked off,UX
Sorry just getting to everyone's messages,Social
anyways have a good night,Social
and a wonderful semester thanks for hopping on,Social
Enjoy the wedding Katie,Social
Goodnight!,Social
