Message,R2DiscussionType
"(Sorry it came out as three separate messages! For some reason, it wouldn't post my full response at once.)",Seminar
"The more I think about this activity, the more I wonder if we are supposed to be collaboratively writing an end to the story. ",Deliberation
Perhaps the top of this page (where we type and send messages) is for planning and the bottom (open white area) is for writing an end to the story? ,UX
"I thought we could all answer the questions in the messaging area (like you & I did), then we can take turns drafting a group response",UX
"I could write the first draft based on my interpretation of our answers, then we could take turns editing - round robin style until we are happy with the result",Deliberation
What were your thoughts?,Deliberation
I am late to the discussion ,Procedure
because while I agree with the first part said,Seminar
We can try to get in touch with them and decide how we wat to write out the answer,Procedure
"I tried looking for a ""particpants"" button or something and I couldn't find one.",Procedure
"I sent an email to the coordinator and I hope to hear back from them, but I wouldn't mind setting up a discussion in our class page too",Procedure
I'm going to create a discussion called Book Club 4 and see if we can see if there is anyone else who is part of that group.,Procedure
I want to wait to see what they think about how the ending should go as well.,Seminar
I'm also okay with either ending for Part 1 as well. ,Seminar
"As for Part 2, I have a theory. ",Seminar
That's certainly an interesting way to look at the potential of that kind of ending.,Seminar
Or we could take turns writing out a paragraph and jump one it from the last person's response.,Deliberation
I like the idea of writing a paragraph or a few sentences and then bouncing off from there. ,Deliberation
Let's hope I do as well on part 2!!,Social
Any idea on how to submit it?,UX
Yeah I was wondering because when I click 'My Answer' at the top it says I haven't submitted one. ,UX
Maybe sometime next week there will be a button to push.,UX
Or when the survey comes out maybe something will be there,UX
"Part 1: Ultimately, it is left for the reader to decide what is behind the door,",Seminar
I hadn't thought of when I read the piece,Seminar
"Yeah, I was going back and forth a lot on what I think happened. So I can definitely see your reasoning for her picking the lady.",Seminar
"So, where have we landed: Lady or tiger? Trial or coverup? I think we just have to write something in the space below.","Seminar, Deliberation"
"Is the response we write in the field below supposed to be in the same style of the story, like we're completing it? Or are we just answering the questions?",Deliberation
I'm good with writing the majority choices.,Deliberation
"Unfortunately I can't click in the box below at all, so it's anyone's guess what style our response is supposed to be in. I would imagine answering the questions simply would be fine.",UX
Looks good. I think to mark our assignment done we just have to write SUBMITTED at the top of the entry.,UX
Wait how do we submit this assignment?,Deliberation
The four questions,Deliberation
Do we answer these before continuing the story?,Deliberation
"So the top is for chatting and the bottom is for responding, I believe.",Deliberation
"Ok, I had to reset the book to make this work!",Deliberation
"Yep, so what you think the questions are?",Deliberation
she was smiling by the end and the book told me i did well,Deliberation
Which questions? like the prompt?,Deliberation
But it asked for 4 so i amswered with 4,Deliberation
We need total four answers to the question,Deliberation
"At the top of the screen are two questions, I believe that is what the 1 & 2 are on the bottom portion",Deliberation
I tried the ones you mentioned it said try again.,Deliberation
You have to do them one at a time,Deliberation
The second question here is just as complex for different reasons,Seminar
there is a wrong answer?  thats weird,Deliberation
It is wrong because they want the character to respond to each question one at a time.,UX
Should we write it as continuing the story or just as a normal response?,Deliberation
it's I know I live without him final question,Seminar
Did you guys get the final question,Deliberation
I'm not sure what you mean by the final question. Once I put in the 4 questions it let me finish reading the last two pages.,UX
and then it just seems to end,UX
"Does anyone have any idea how to ""add the title SUBMITTED"" to our response?",UX
Also feel free to add anything to them if you would like.,Deliberation
I just added a title submitted so I guess we're done. This was very interesting and challenging.,Deliberation
Don't forget we have to go on to canvas and complete the survey and submit it,Deliberation
"We can continue to discuss individually, or if you want to try writing collaboratively at the same time, please suggest a time. I'm available any evening this week starting at 6 p.m. I'll keep tabs on here from now on to see if you want to do that. Thanks, Robyn",Procedure
I don't think I should have gone outside this platform to Google the book since this is supposed to be a discussion between us via this platform. Sorry about that.,Deliberation
