Message,R2DiscussionType
" Sadly  the barbaric nature of the king and princess is still alive today in crimes of passion.""",Seminar
If the King were to discover that his daughter broke the law by secretly sending her lover towards the door on the right,Seminar
he would have to send his daughter to the arena for a judgement. ,Seminar
"given that it is stressed he is semi-barbaric, he would choose not to send his daughter, whom he loves so dearly, to her potential death.",Seminar
 It could be argued that the informant is more guilty than the princess and is sent to show the kingdom the consequence of such behaviors.,Seminar
 that the Princess's barbaric traits will lead the princess to send her lover to his death.,Seminar
that the king's adoration of his daughter would stop him from sending his daughter into the arena.,Seminar
"I had orgininally thought that the king would either keep her secret out of love for his daughter, or out of barbaric pride that she sent her lover to his grizzly death, or a combination of the two. ",Seminar
Just because she comes from a semi-barbaric King does not make her semi-barbaric. ,Seminar
The princess has no qualms about her lover dying but,Seminar
 Would the king even entertain that idea given it is his daughter?,Seminar
"This is based on the story's emphasis on the royal family's semi barbaric"" nature.",Seminar
This action seems indicitive of her barbaric and jealous nature because this way she remains the conquerer  and if she cannot,Seminar
"After all, it is a two way road and she is being punished right along with him for getting caught by the king as well.",Seminar
 I also think that even if the king finds out that she knew the doors he will know that either choice that she makes is a punishment in its own right. She suffers either way ,Seminar
And what if the king already knew that she had broken the law. ,Seminar
It would be just a thing that this King would do I think.,Seminar
But I do also think that it is possible that the King could be in on it too. ,Seminar
He could know that she knows which door is which and he seems like the type of king to enjoy that punishment,Seminar
but I think we should incorporate the King mentioning that he helped feed his daughter the information on what was behind each door. ,Seminar
"I think that when the King discovers his daughter broke the law, he would still make her go through the arena.",Seminar
This could either cause the King to become even more barbaric or to stop these trials all together,Seminar
and it would depend what they feel the princess cares about more - his life or him being married to another woman.,Seminar
that he sentences the princess to the same trial that he is on. ,Seminar
"but at the same time, as you stated, the princess is herself in a greater trial than the man in that she has to decide whether to kill or not kill her lover who has hurt so deeply.",Seminar
"I feel that it would be fitting for the king to sentence her to the same trial, because they king and princess are both constantly described as semi-barbaric"" throughout the text.",Seminar
"There seems to be very little compassion or empathy displayed by the king or the princess  even when the princess thinks of her lover  she thinks of herself not necessarily him.""",Seminar
I honestly don’t think the king would have done anything after discovering his daughter broke the law. He probably covered it up or considered her already punished through her lovers fate.,Seminar
The King does seem unstable enough to put his daughter on trial via the lady and the tiger method. I imagine she'd use her own connections to find out which door had the tiger behind it and which door had a suitor.,Seminar
"Louise Campbell, I agree with you in thinking that the king covered it up somehow and didn't put her through the trial.",Seminar
Should we go with the choices that have a majority? So the lady behind the door and the king covering up for his daughter?,Deliberation
"I think the King would offer her the same choice between the two doors, he seems to really like this punishment.",Seminar
"I think it would depend on how much she truly trust her lover. If she had faith in him truly, she would let him live with the lady. At least he would be alive and happy. But if she was full of distrust or jealousy she would kill her lover. Even if she is semi-barbaric she seems to be fair or at least a follower of her Father. I would say she would point to the Lady in the end.",Seminar
"Upon discovering his daughter has broken the law, the King responds out of love, because she is the apple of his eye, and he forgives her.",Seminar
I agree that the princess could just banish the new couple away too. Do we have to agree on a single ending?,"Seminar, Deliberation"
"So the King would come back at the boyfriend later due to him ""cheating"" the trial? I can see that.",Seminar
As for the second question I believe that the king would try to cover up the fact she broke the law. I only say that because if he was that mad because someone was her lover I doubt he would send her to die. He would probably rather punish her in private.,Seminar
"As for the second part, I'm not sure if the King would carry out the same punishment for his daughter as he would the commoners. However, he would definitely think of another way to punish her that would consist of a clever, yet barbaric twist for her to prove her loyalty and worth.",Seminar
I  think she sends him to the door with the tiger. When the king finds out that she knew he is so pleased by her barbarism that he does nothing but inside he has now decided that she is a worthy predecessor.,Seminar
I believe the King would be upset that the rules of his arena were broken. But,Seminar
"But I think he would also revel in the fact that his daughter could be so barbaric. However, he does seem to hold the random chance of fate of the arena in the highest regard so although he loves his daughter above all else I think he may make an example of her. Especially if the people found out what happened",Seminar
"Just realized I never answered the second question. I also agree that while the king may feel a bit of pride for his daughter, he holds his beliefs in his chance of fate style of justice so closely to his chest, so he most likely made an example out of his daughter as well.",Seminar
Hey Ashley Peterson! I also wanted to mention the story mention the King's barbaric nature numerous times so it is highly likely that he would punish his daughter.,Seminar
"Oh definitely! I wrote out a possible response beneath your reiteration. Feel free to add/delete whichever parts! Joyce Brown, do you have any further thoughts about how the king would react? You mentioned he would most likely decide his daughter would be a worthy predecessor while Denise Harris and I believe he would punish her anyway.",Seminar
"So if the King puts his daughter on trial, does that mean he sets her up with 2 doors as well?",Seminar
"I think it's barbaric nature but also slightly just (in a warped way), because as it mentions he treated women and men equally so would feel obliged to treat his daughter the same",Seminar
I mean I think it states that the king does love the daughter at some point though.,Seminar
"Maybe write that the king, despite his love for his daughter, could only act in a barbaric manner",Seminar
yet also leaves it open ended (because how can we decide whether the princess lives or dies),Seminar
"As for part 2 of the question...I think the father upon finding out what the daughter had done would totally subvert the natural order of things and not have her go through the process of justice that others do. He would be furious with her and would punish her in some way but, not by putting her in the arena. I dont think he could cope with her dying by the tiger or being forced to marry a person below her royal status.",Seminar
