Message,R2DiscussionType
"Her lover would die and never love another."" ",Seminar
"Either way she must love without him, but is she open-hearted enough to allow for him to love another?",Seminar
"It doesn't appear so. For instance, she discloses great agony, jealousy, and stress about the potential wedding between her lover and the lady behind the door;",Seminar
"however, she only comments that a tiger would bring shrieks and blood. From her revealed thoughts, she is ",Seminar
"more upset with the prospect of him belonging to another, and so it is clear,",Seminar
she would send him to his death.,Seminar
"given that it is stressed he is semi-barbaric, he would choose not to send his daughter, whom he loves so dearly, to her potential death.",Seminar
"Perhaps, instead of sending his daughter to the arena, he would send the person who gave her the information about the two doors instead.",Seminar
"She exhibits immaturity and cruelty by fixating on imagined flirtations between ""the lady"" and the princess's lover.",Seminar
The story also leads me to think that she is accustomed to having her every wish granted by her father and that she never learned the benefits of compassion.,Seminar
"If the secret was shared with the community, I also think that it would be her informant that would be punished.",Seminar
Love does have a way of changing how we think and make valuable decisions like this one,Seminar
"While Jealousy is a strong determinate, Love is often stronger, and it would make sense to allow her lover to live out of love just as much as it would make",Seminar
make sense to allow her lover to live out of love just as much as it would make sense for her to have him killed. ,Seminar
Basing a decision on her lineage is not exactly a strong source in my opinion.,Seminar
"However, basing a decision on her own thought process, that I can get behind",Seminar
had great grief over her lover in another’s arms.,Seminar
"As for the second part, only her lover saw her give the signal so the second part is questionable as it would be based on hearsay. ",Seminar
"Without someone seeing her give the signal, they really cannot accuse her of helping him",Seminar
"Not to mention that if she had not helped him at all, and he opened the door with the female, would she still be under scrutiny?",Seminar
" In the story  it is mentioned several times that the princess is jealous of the idea of her lover being with another woman  stating ""her soul had burned in agony when he rushed to meet that woman"" (pp. 10).",Seminar
This action seems indicitive of her barbaric and jealous nature because this way she remains the conquerer  and if she cannot,Seminar
Do you think that she kills him or saves him?,Seminar
What would you do in her place?,Imaginative entry
"I kind of think that even though she is angry and jealous, she would ultimately save him. ",Seminar
I think that overall the weight of her conscious would have kept her from sending him to his death for falling in love with her.,Seminar
Perhaps he planned it so that she would be the one to make the decision in the end as no one has ever known what's behind the doors before,Seminar
Maybe this was her punishment.,Seminar
"Knowing she could save him from death, but still lose him in the end.",Seminar
I'm kind of on the fence about whether she saves him or not.,Seminar
 I think that she may dislike the idea that he marries another more than him dying.,Seminar
So I'm leaning more toward she sends him to the tiger's door.,Seminar
What would you do in her place?,Imaginative entry
"Not what do you think she would do, but what would you do if you were in the situation? ",Imaginative entry
I know I wouldn't be able to live with myself if I knew I was the reason the person I loved was killed in such a painful manner,Imaginative entry
 It would hurt worse to know his death was my fault than to know that he was happy with someone else. ,Imaginative entry
" Personally, I would save him. ",Imaginative entry
"I'd rather be sad for a little while that the person I loved married someone else, than let them get killed. ",Imaginative entry
"There are other guys out there so even if he was the most handsome and all that,",Imaginative entry
I'm sure I would eventually get over him being with someone else,Imaginative entry
"I think if I misled him to choose the tiger's door, I would feel like I committed a murder myself",Imaginative entry
"I also got the sense that she would point her lover to the tiger's door, but now the more that I think about it, I think she would send him to the other woman.",Seminar
about how she may have felt guilty.,Seminar
"BUT, he'd tell her which door leads to a man and which leads to the tiger, thinking that she will obviously choose to marry and live.",Seminar
"HOWEVER, she is so distraught about losing the love of her life that she actually chooses the tiger's door on purpose.",Seminar
Oooo I like that idea of how he might send her to the arena and then tell her which is behind each door. ,Seminar
"This gives her a chance at potential happiness or, if she is feeling miserable and depressed, may want to go through with the tiger!",Seminar
He sentences her to the same trial.,Seminar
 The abyss of pain and betrayal of an unfaithful lover and seeing them with someone else is palpable and I could imagine that in the throngs of that deep pain one might wish their unfaithful lover to be dead.,Seminar
"I think the lady is behind the door. If she truly loved him as the story seems to claim, she would not have wanted him mauled. Plus, if she wants a future with any man she wouldn’t want the world to see her first lover as someone who deserved to be punished.",Seminar
"I think the lady is behind the door. Regardless of how jealous you may be, you can't really love someone and also be able to tolerate watching them get torn apart by a wild animal.",Seminar
"Anna Jones, this is what I was thinking. If you really loved him you wouldn’t allow that. Alexandra, I was leaning toward the tiger at first because of the descriptions you gave. The apple doesn’t fall far from the tree and all that. 🙂",Seminar
She gifted him with the tiger.,Seminar
I think she may not trust him enough to give him the door with the lady behind it. They really focused on her jealousy and how she's a lot like her father.,Seminar
She's definitely her father's child.,Seminar
Could she be fed to the tiger and save the unsuspecting poor fool?,Seminar
"I think it would depend on how much she truly trust her lover. If she had faith in him truly, she would let him live with the lady. At least he would be alive and happy. But if she was full of distrust or jealousy she would kill her lover. Even if she is semi-barbaric she seems to be fair or at least a follower of her Father. I would say she would point to the Lady in the end.",Seminar
"Interesting Jennifer Gonzalez that I initially thought the Tiger because of her jealousy and that if she could not have him, then no one could have him. But, I changed my mind with the hope of a happier ending.",Seminar
I agree he will forgive his daughter because he loves her so.,Seminar
Live Without Him is probably the most important question,Deliberation
I feel like it would be the opposite because she went to all the hassle to find out.,Seminar
I am under the impression that she would rather see him dead than in the arms of another woman.,Seminar
or maybe he put her behind one of the doors!,Seminar
Oh that would be a good punishment for her!,Seminar
I know live without him,Deliberation
"I believe she tells him to open the door with the tiger. This isn't a question of whether or not she loves him, or even trusts him. It's clearly written that she loves him dearly, and his trustworthiness isn't something to consider so heavily since she will lose him heavily. I think she points him to the tiger because of how much more thought she put into the aftermath of sending him towards the lady. She laments on how horrifying it would be to watch her loved one die at the hands of ferocity, but laments even more at the thought of watching him live a different life with someone other than her. She even gives his death a hopeful spin, that they may meet again in the afterlife or some equivalent, but gives no optimistic spin to him choosing the lady, she even mentions the whole if she can't have him no one can.""""",Seminar
since she will lose him anyway*,Seminar
"I agree with you ladies. I also think that she sends him to the tiger. She loves him fiercely, so fiercely that she cannot bear the thought of someone else having him. Jealousy can make people do ugly things and mix that in with her pure barbaric nature, it makes sense that she would choose for him to stop living versus living with someone else. Mourning would be easier than seeing the person you love happy with another, which is clear by the ways she describes her thoughts and turmoil over the situation.",Seminar
