Message,R2DiscussionType
"(Sorry it came out as three separate messages! For some reason, it wouldn't post my full response at once.)",Seminar
"I thought we could all answer the questions in the messaging area (like you & I did), then we can take turns drafting a group response",UX
"That sounds great, Meg! ",Social
I’ll check in soon and add to it ,Procedure
"I sent an email to the coordinator and I hope to hear back from them, but I wouldn't mind setting up a discussion in our class page too",Procedure
You're here for LIS6303 or for another class?,Procedure
I'm also in LIS6303!,Procedure
okay awesome! ,Procedure
I'm going to create a discussion called Book Club 4 and see if we can see if there is anyone else who is part of that group.,Procedure
"Also, I got an email letting us know that Elias Royal is also a part of our group. ",Procedure
Awww thank you so much!,Social
Finished! How does that sound?,Seminar
it's wonderful!,Seminar
Great!,UX
Yay you got it!,"Social, Deliberation"
ok,Deliberation
ok!,Deliberation
Thank you team!  Nice collab!,Social
"Sounds good, I am going to get off of here.",Social
have a great evening!,Social
Me too goodnight! Thanks guys!,Social
"We can continue to discuss individually, or if you want to try writing collaboratively at the same time, please suggest a time. I'm available any evening this week starting at 6 p.m. I'll keep tabs on here from now on to see if you want to do that. Thanks, Robyn",Procedure
I don't think I should have gone outside this platform to Google the book since this is supposed to be a discussion between us via this platform. Sorry about that.,Deliberation
"Since we have each answered the two questions that were proposed, maybe choosing a day/time to all discuss our final answer to the prompt would be best. I am pretty flexible and am available today-thursday just about all day.",Procedure
"Dr. Austin said have fun with it, and it is fun to ponder what might happen in the story. I think the main reason for setting a time to discuss it at the same time would be to test the collaborative software, using the box below instead of this one. I believe we could all write in it at the same time and see each other typing and change each other's words until we all agree we are done with our assessment. If we are able to do that, we might find there are unexpected positives or negatives to the collaboration process or system that we can only otherwise surmise. As you say, we've all responded to the prompts, so what we say doesn't matter that much, so all we'd need is a few minutes to see how using the box works. So if you want to try meeting, I could do Wednesday any time of day. Just set a time and I'll log on then. Thanks.",Procedure
I can meet tomorrow (Wednesday) at 9am EST/8CST.,Procedure
"Perfect. ""See"" you then.",Procedure
"Oh, yay! Can you type a few words in there so I can see if they appear in real time? Then I think we can sign off.",Procedure
"Thanks. I apologize for delaying you on completing this assignment, but I appreciate your taking the extra time for me. Good luck with the rest of the semester!",Social
Looks good! I guess we can complete the post survey and submit our assignment,"Social, Procedure"
Good luck to you as well,Social
Yes. Thanks. Bye!,Social
Sounds good!,Social
Hi everyone! I have read the story and am ready to discuss.  I can log back in later to see if anyone else is ready.  Should we try to figure out a time to all come back and work in here together?,Procedure
"I read the story and I am ready for discussion too. Let's decide on a mutual time for this. Thanks,",Procedure
"Apologies for my slacking with this, I am also finished now.",Social
Can we plan on Tuesday the 23rd at 8pm to all meet back here to discuss and answer? Thanks,Procedure
"I just replied to the email, but yes"" I can meet back here tomorrow (Tues. at 8pm). ""See"" you all then!""",Procedure
"Hi Linda Long and Michelle Rivera, I am here and ready whenever you both are.",Procedure
"I am on,",Procedure
"Ok, that's how I understand it as well. Let's wait a few more minutes to give Julie a chance to join us. Sound good?",Procedure
How much longer would you like to wait for Julie before we begin? 5 more minutes?,Procedure
"If you can I can, or we could start and she could catch up?",Procedure
"I hope she's not back on one of the earlier pages, I just went back to reference and clicked the discussion and was left with a blank page, all these messages were not there.",Procedure
"Perfect, we are all here.",Procedure
Sorry for the delay,Social
"Ok, that works for me. We can just answer the questions.",Deliberation
"Yes, lets do that!",Deliberation
Good job!,Social
"Sure, share it. I am curious.",Deliberation
"sure, let's see it",Deliberation
thank you,Social
I'd say we pretty have wrapped things up then. It was nice working with both of you!,Social
Good job ladies. Thank you both.,Social
"Yes, thank you too. Good job everyone. :)",Social
"Yes thank you, glad we could get on at the same time. :)",Social
Hello! I can!,Social
"I just asked Samantha if this activity is timed or if we need to spend a certain amount of time in the chat, Samantha said we can take as long as we want",Procedure
"Okay, cool! Should we wait a couple of minutes for Rebecca or get started?",Social
Sure let's wait,Social
I don't think this e-book times out so we should be ok,UX
Okay!,Social
Hello! I've been on but just noticed the chat feature. We're good to get started :),UX
No worries!,Social
"Okay, me too! Sorry there's a bit of a delay on my end.",UX
"Natalie, are you still there?",Social
I guess that was all we had to do? I don't know if there's anything else to discuss,Procedure
"Okay, cool",Social
Enjoy the wedding!,Social
Thanks for hopping on for a little bit! I hope you both have a great rest of this semester!,Social
"Thank you, I will!! :)",Social
Thank you! You too!,Social
Hi sorry ladies I got kicked off,UX
Sorry just getting to everyone's messages,Social
anyways have a good night,Social
and a wonderful semester thanks for hopping on,Social
Goodnight!,Social
I'm so sorry to have missed this initial conversation. I was dealing with some personal matters that prevented me from doing so. But I've caught up and I greatly enjoyed reading the discourse here.,Social
