Message,R2DiscussionType
My assumption is,Seminar
I agree with Cassandra's noticing ,Seminar
I loved the addition of ,Seminar
mor,Other
"given the two terrible choices,",Seminar
"I would imagine,",Seminar
"However, I also do not",Seminar
ima,Seminar
I agree with Ashely ,Seminar
I also agree with Ashley,Seminar
opportun,Seminar
 I like this idea!,Seminar
I'm overall a little confused by this entire module ,Deliberation
and am open to other thoughts/suggestions.,Deliberation
"I think you are correct, Ashley. ",Deliberation
👍,Social
but I figured I might as well add to this,Procedure
s,Other
Who knows? ,Seminar
What would happen then?,Seminar
uwgyeu,Other
"ha""",Other
What do you guys think? ,Seminar
w,Other
"Kyra, those are some good thoughts! ",Seminar
Emilie I can see that. ,Seminar
I mean there are other guys out there after all.,Imaginative entry
I agree.,Imaginative entry
And that's true! ,Imaginative entry
"There are other guys out there so even if he was the most handsome and all that,",Imaginative entry
I agree with that so much! ,Imaginative entry
I'm not sure! ,Procedure
I couldn't either.,Procedure
Good idea!,Social
That's just my opinion though.,Seminar
"Of course, we should all definitely have a chance to contribute.",Procedure
I liked what you mentioned earlier Kyra,Seminar
But that's just what I was thinking.,Seminar
And I almost think if we can't decide we might just flip a coin ,Seminar
lol ,Social
"Flipping a coin may not be the worst idea, honestly! ",Deliberation
That's fun,Social
Glad you like that idea ,Social
:D,Social
I think it would be fun too!,Social
That's a creative idea!,Seminar
 I like it,Seminar
Ahhh I love your response too!,Social
I think we just leave it here? I'm not totally sure,UX
So I don't know. ,UX
Maybe! ,UX
Yeah that makes sense.,UX
darla,Other
I would hope though,Seminar
experien,Seminar
"^Gina, that is a really interesting point that you make, ",Seminar
"That's a really insightful point, Gina!",Seminar
Are we ready for that?,Deliberation
"Yeah, I'm good with it.",Deliberation
I agree,Seminar
Yes so what do you think guys?,Deliberation
"Live without was the first one I put.  Then Trust, Love, and then Know",Deliberation
Live Without Him is probably the most important question,Deliberation
We need total four answers to the question,Deliberation
"That is a good point, Victoria",Seminar
I tried them all at once and it told me wrong lol,Deliberation
there is a wrong answer?  thats weird,Deliberation
ooooh,UX
that sounds reasonable,Seminar
keeping one's orbs in line is essential,Seminar
i think weve got it,Deliberation
it's I know I live without him final question,Seminar
I know live without him,Deliberation
I was looking for that,UX
"Perfect. ""See"" you then.",Procedure
"Ha, I meant successor.",Seminar
I think so.,Procedure
Definitely,Deliberation
That's exactly what I think as well.,Seminar
"Ha ha, maybe!",Imaginative
"Yes, that's true as well",Deliberation
"I like the ""doom""",Seminar
is that too much?,Seminar
No I think it is good.,Seminar
I don't think it is too much.,Seminar
Probably yes,Seminar
Good idea.,Seminar
yes,Seminar
sentence*,Seminar
"There, lol. what do you girls think?",Seminar
I like it...,Seminar
I like it,Deliberation
I can see it clearly.,Deliberation
"yay, lol.",Social
True!!,Seminar
I totally agree.,Seminar
"I agree, ",Seminar
That's true -,Seminar
w,Seminar
...,Seminar
...,Seminar
...,Seminar
I completely agree with you,Seminar
*by,Social
"What about you, Rebecca?",Seminar
Hint I _____him?,UX
head in hands,Social
It took me 10 tried. Then I got it,UX
It doesn't matter the combo of the questions,UX
I'm not sure. They're probably equally beautiful and just jealous :),Seminar
ha ha,Social
"Well said, Rebecca",Seminar
Good point you made Rebecca,Seminar
Yep.,Social
That was in response to Rebecca's question.,Seminar
Same.,Seminar
