Message,R2DiscussionType
that the emphasis on barbarism implies that she sent him to the lion.,Seminar
"If the princess possesses the same semi-barbaric trait as her father, then it would seem she directed her lover to the door with the tiger. ",Seminar
"however, she only comments that a tiger would bring shrieks and blood. From her revealed thoughts, she is ",Seminar
"She exhibits immaturity and cruelty by fixating on imagined flirtations between ""the lady"" and the princess's lover.",Seminar
and Meg brought and interesting topic of the difference between how the princess rambles on about him opening the door with the lady but barely mentions him opening the door with the tiger.,Seminar
The princess has no qualms about her lover dying but,Seminar
"Part 1: For this question, our team decided that the princess chose the door with the tiger. ",Seminar
" In the story  it is mentioned several times that the princess is jealous of the idea of her lover being with another woman  stating ""her soul had burned in agony when he rushed to meet that woman"" (pp. 10).",Seminar
So I'm leaning more toward she sends him to the tiger's door.,Seminar
"I think if I misled him to choose the tiger's door, I would feel like I committed a murder myself",Imaginative entry
My initial thoughts were that the princess knows what's behind each of the doors because the King had told her or she figured it out from overhearing him talk about the punishment.,Seminar
"I also got the sense that she would point her lover to the tiger's door, but now the more that I think about it, I think she would send him to the other woman.",Seminar
"BUT, he'd tell her which door leads to a man and which leads to the tiger, thinking that she will obviously choose to marry and live.",Seminar
"HOWEVER, she is so distraught about losing the love of her life that she actually chooses the tiger's door on purpose.",Seminar
Oooo I like that idea of how he might send her to the arena and then tell her which is behind each door. ,Seminar
"This gives her a chance at potential happiness or, if she is feeling miserable and depressed, may want to go through with the tiger!",Seminar
"Oooo I have another idea! What if the princess sends the man to the tiger and right out tells her father she did it and wants a trial. Then because he loves her he begs her to choose the door with the young man he picks for her, but she chooses the tiger.",Seminar
"Part 1: Ultimately, it is left for the reader to decide what is behind the door,",Seminar
and it would depend what they feel the princess cares about more - his life or him being married to another woman.,Seminar
Part 1: It is such an agonizing question of whether the lady or the tiger is behind the door. ,Seminar
"that the lady is behind the door; that the princess might be able to also feel that to take another human life, even when that life has so greatly wronged you, is far worse than to ",Seminar
"The text describes the anxiety of being in a huge stadium with a roaring crowd and the fear of being killed horribly by a tiger, ",Seminar
"There seems to be very little compassion or empathy displayed by the king or the princess  even when the princess thinks of her lover  she thinks of herself not necessarily him.""",Seminar
"I think the lady is behind the door. If she truly loved him as the story seems to claim, she would not have wanted him mauled. Plus, if she wants a future with any man she wouldn’t want the world to see her first lover as someone who deserved to be punished.",Seminar
"I think the lady is behind the door. Regardless of how jealous you may be, you can't really love someone and also be able to tolerate watching them get torn apart by a wild animal.",Seminar
"I think the tiger was behind the door. Mostly because of the princess being described as ""hot-blooded and semi-barbaric.""",Seminar
"Anna Jones, this is what I was thinking. If you really loved him you wouldn’t allow that. Alexandra, I was leaning toward the tiger at first because of the descriptions you gave. The apple doesn’t fall far from the tree and all that. 🙂",Seminar
"So, where have we landed: Lady or tiger? Trial or coverup? I think we just have to write something in the space below.","Seminar, Deliberation"
She gifted him with the tiger.,Seminar
I think she may not trust him enough to give him the door with the lady behind it. They really focused on her jealousy and how she's a lot like her father.,Seminar
Could she be fed to the tiger and save the unsuspecting poor fool?,Seminar
The king fed his daughter to the tiger,Seminar
The Lady was behind the door.,Seminar
"I want to believe the tiger was behind the door because the princess was semi-barbaric but she was also filled with despair and jealousy.  The green eyed monster.. gets you every time...so she knows she has lost him, but she doesn't have to let the Lady have him.",Seminar
"Interesting Jennifer Gonzalez that I initially thought the Tiger because of her jealousy and that if she could not have him, then no one could have him. But, I changed my mind with the hope of a happier ending.",Seminar
"I believe the lady was behind the door as the description of the princess was ""semi-barbaric."" She could probably have the new couple banished from the kingdom so she would not have to see them. I believe it was the tiger because the princess could not bear for anyone else to have him.",Seminar
I agree that the princess could just banish the new couple away too. Do we have to agree on a single ending?,"Seminar, Deliberation"
I don't think we have to agree on a single ending as both are viable. I still will go with the Lady as being behind the curtain. The King will be upset with this but will forgive his daughter. He may do something else to the boyfriend later.,Seminar
"Oh I see, there are two questions here.  I feel that the princess would have led him to the tiger","Deliberation, Seminar"
"I think the tiger is behind the door, as it would create a plot twist when its not the predictable lady. The king may show mercy towards his daughter, as she is royalty. Instead, she might have to go on a quest of some kind to prove her worth to inherit the thrown one day.",Seminar
"I agree with you, Diane Gonzalez. I am convinced that the princess lead the gentleman to the door hiding the tiger. It would make a brilliant plot twist, but with the information we know about the character of the King, that can be found within the princess as well. In my mind she believes if she can't have the man, she sure does not want another woman to have him, especially someone she despises.",Seminar
"Hi Diane Gonzalez and Deborah Evans. I'm sorry to be so late joining the conversation. If I ponder too long, I'll never come to a conclusion, so I'm going to write my first thoughts. I share your  he's barbaric, and he's fine doling out punishment to his own daughter, as his punishment of her lover has in effect punished her as well. take that the princess will direct the gentleman to the tiger - she's lost him either way and her jealousy and barbarism are too great. On the other hand, the text describes her and the gentleman as having one soul, which I take to mean he would know if she chose the tiger, in which case he'd choose the other door, yet he doesn't. So does that mean she didn't choose the tiger? Or that he'd rather die than be with another woman? For Part 2, I believe the king likely would not show mercy, even to his own daughter, as he has consistently relied on this method of justice",Seminar
"Curiosity got the best of me, and I googled this book, which I'd never heard of despite it being a well-known allegory. It presents an unsolvable problem, yet we all felt pretty confident taking a stab at answering the prompts. I wonder what we are to make of all of us feeling pretty certain the princess chose the tiger. Is our choice based on the author's characterization of her or our belief that human nature is fundamentally selfish?",Seminar
I  think she sends him to the door with the tiger. When the king finds out that she knew he is so pleased by her barbarism that he does nothing but inside he has now decided that she is a worthy predecessor.,Seminar
"I believe she tells him to open the door with the tiger. This isn't a question of whether or not she loves him, or even trusts him. It's clearly written that she loves him dearly, and his trustworthiness isn't something to consider so heavily since she will lose him heavily. I think she points him to the tiger because of how much more thought she put into the aftermath of sending him towards the lady. She laments on how horrifying it would be to watch her loved one die at the hands of ferocity, but laments even more at the thought of watching him live a different life with someone other than her. She even gives his death a hopeful spin, that they may meet again in the afterlife or some equivalent, but gives no optimistic spin to him choosing the lady, she even mentions the whole if she can't have him no one can.""""",Seminar
"I agree with you ladies. I also think that she sends him to the tiger. She loves him fiercely, so fiercely that she cannot bear the thought of someone else having him. Jealousy can make people do ugly things and mix that in with her pure barbaric nature, it makes sense that she would choose for him to stop living versus living with someone else. Mourning would be easier than seeing the person you love happy with another, which is clear by the ways she describes her thoughts and turmoil over the situation.",Seminar
"In terms of just answering I feel like the tiger was behind the door, and later the King puts the daughter to trial...",Seminar
"No problem. :) So to jump right in, when I read I felt like she sent him to the door with the tiger.",Seminar
"Ok, we all thought the tiger!",Seminar
"Ok, so what happens then? Do we choose which door she opens?",Deliberation
I'm not sure about the ending if we pick the door for her...personally as a (casual) author I would not want to pick an ending in this case,Deliberation
yet also leaves it open ended (because how can we decide whether the princess lives or dies),Seminar
I think she sends him to to the tiger. She could live with his death but not with him living with another woman.,Seminar
 I think she sends him to the tiger. Its clear she had jealousy issues and she was raised by a father that is erratic and delivers justice according to a whim. I dont think she would think reasonably.,Seminar
